Summary,Description
Performance test for worker pool,"# 1x PO Traffic with DSP + PDF/ZPL + 4 x 6 ( 203 dpi ) *- currently timing out - worker threads for better CPU utilization*
# 1 package DSP + PDF
1 package DSP + ZPL
1 package DS + PDF
1 package DS + ZPL
# 1x TPM of v2 label on prod → v2 vs v3
# Run labeler performance suite

We need to set a script that will enable us to create unique dummy DSP label images that shall help us create mock providers' responses that can be used to set up orders in our performance tests. This shall help us remove dependency on Providers setup orders required for the performance test."
Performance Test - Labels v3 End to End,Performance Test - Labels v3 End to End
Notifications Revamp Phase-1 performance test [Bug Fixes],
Smart Scaling Lambda Setup for Messaging Service,We will need to set up Smart Scaling Lambda for Messaging Service as of now the service scales only based on CPU and Memory. We can also scale it based on queue backlog.
Performance Analysis of Notification Timer Revamp,
Performance analysis of Place Order flow with Pre-Dispatch Exceptions,
Performance analysis of Scheduled Orders,
Performance Test - Labels v3 [Puppeteer & JSPdF POC],
Add 'pilot-order-db' in Repository library and publish in QA services,"To check the changes in the pilot card([https://delivery-solutions.atlassian.net/browse/DL-29360|https://delivery-solutions.atlassian.net/browse/DL-29360|smart-link]), we need to add support to point some tenants to the pilot-order-sb.

The following things are to be taken up - 

[~accountid:62b548d7f38b4dcf73dae06c] - 

* Will provide a list of tenants to be added to the if-condition
* The list should include - 
** Tenant(s) that will be used by QA for testing - [~accountid:61d802b29ee70a0068891026] Will provide this
** 2 tenants from Endurance Suite. These tenants will be first migrated from Sandbox to QA
** An additional dummy tenant

[~accountid:62aad5226085950068af4d77]  - 

* Get the list of all the MSs that will need repository version updates and deployment. Get this list reviewed.
* Code changes in the Repository Library
* Inform on #ds-dev-tester_channel about the activity and tenants
* Get the PRs merged on QA


Code snippet for reference - 

{noformat}export class OrderRepositoryBuilder {
  constructor() { }

  static async build(tenantId: string, collectionOptions?: CollectionOptions): Promise<OrderRepository> {
    if([<list of test tenant's tenantId>].includes(tenantId)) {
           let db = await getMongoDbConnection(`pilot-order-db`, process.env.DB_URL))
            return new OrderRepository(db, collectionOptions);
    }
    
    const tenantDb = await getTenantDbConnection(tenantId);

    if (tenantDb instanceof InternalServerException) {
      throw tenantDb;
    }

    return new OrderRepository(tenantDb, collectionOptions);
  }
{noformat}"
Performance Testing for Notifications and Alerts,Performance Testing for Notifications and Alerts after the integration of new service
Performance testing of the RO engine,Reference - [https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/717586462/Google+OR-Tools|https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/717586462/Google+OR-Tools|smart-link] 
Setup DAP in performance to completely point to performance environment,Setup DAP in performance to completely point to performance environment
Performance Testing of Optimised Route Plans,
Performance Evaluation of Memory Leak Issue in Communication Service,Issue Replication and Performance Evalution for [https://delivery-solutions.atlassian.net/browse/DL-25226|https://delivery-solutions.atlassian.net/browse/DL-25226|smart-link] 
Performance retest for DAP with fixed issues,"* We have communicated the issues to [~accountid:5e01a9377a22c90da0c4adf7] and the team. We will be doing a retest once the issues are resolved.

* Issues reported - [https://delivery-solutions.atlassian.net/browse/DL-26157?focusedCommentId=52838|https://delivery-solutions.atlassian.net/browse/DL-26157?focusedCommentId=52838|smart-link] 

* We will be pointing completely to sandbox resources(including onboarding service) for these tests as internal sandbox URLs are called.
* Please conduct the tests in non-US hours(11 am to 5 pm IST)"
Performance Environment Setup For Micheals,"Performance Environment Setup For Micheals

* Need to replicate the latest sandbox cluster to the performance cluster
* Deploy the latest sandbox code to the performance
* Make sure that the pendingReleaseOrder Cron is working as expected.
* Test E2E Micheals integrations - 
** PO
** Create Estimates
** Tenant webhooks
* Do a load test of PO and Edit Order at 35 RPS
* Tenant's Webhooks should work as expected."
Migrate NLB URLs to ALBs in performance environment,Change the config.perf.json file and remove internal URLs from the micro services.
Performance tests for Predictive ETA/ETD - [Third Iteration],"We need to test the prediction engine service directly to test the performance of the service, this needs to be done in 2 steps:

# We will perform a 100 TPS load test on the curls provided the the AI/ML team to the service provides results within a minimum time duration. Expected latency should be <100 ms.
[https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/754581615/PROD+curl+request+and+response+time|https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/754581615/PROD+curl+request+and+response+time|smart-link] 
# We performed an end-to-end load test on 22nd June, we need to refer to the test setup used for that test and replicate the requests to send to Cognida Service via the prediction engine library for each of our scenarios and do a load test directly on the Cognida Service with the same RPS that we had executed in our end to end test. 
[https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/696844313/Cognida+Test+22nd+June|https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/696844313/Cognida+Test+22nd+June|smart-link] 

We will also do a reiteration of the end-to-end prediction ETA/ETD test by increasing the CPU and Memory of the tasks to see whether we are able to see any improvements in the latencies.

Test Setup: [https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/689897955/Cognida+Test|https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/689897955/Cognida+Test|smart-link] "
Benchmarking of returns APIs by performance test,"Once the suggested changes to improve the performance of returns are done, the APIs are needed to be tested again and benchmarked."
Performance Test for DAP at 5 TPS,"* We want to know the SLAs for All the APIs exposed to DAP. 
* The load expected on it are minimal for now. 
* SLA that we have provided to Customer is 10 seconds 
* [~accountid:624160d8f407980070546df5]  will attach Postman Collection for all APIs on the card. 
"
Review performance test suite- Q4 - 2024,
Endurance Test - Feb-24,
Endurance Test - Jan-24,
Performance Test Setup for Big Lots Test (19-Oct-23),"|Scope Definition|Expectations / Desired Outcomes|Expected RPS|Expected Latency|Requested Date & Time|Requested Run Time|Timezone|
|80,000 concurrent vusers, 6 hours|Make DS - Performance Test environment available for the load test|167|150|10/3/2023|6|EST|"
Create a framework for automated infra changes through AWS SDK scripts,"Approach:

Performance admin panel uses aws sdk scripts to update resources. The question is whether we can do the same to update AWS resources through it during regular releases. There can be 2 approaches to the same:

# Create a list of common actions (AWS SDK snippets) that can be used to get a job done. This will be used across environements and aws accounts
# Create a migration repo like structure where every release, a set of infra migrations are written which will need to be executed. Here, also we have to decide how the variables are passed to the scripts"
Performance of all APIs  (For Sandbox S2023-DM-40.0.0),
Ability to change launchTemplate version from admin panel,
Endurance Test - Sept-23,
Performance benchmarking for Client Facing APIs  (For Sandbox S2023-DM-40.0.0),
Performance benchmarking for Client Facing APIs  (For Sandbox S2023-IA-39.0.0),
Endurance Test - Jul-23,
Stress Test PO and Web hooks by 600 RPS of PO traffic via batching processor,"*Background -*

* We need to simulate a test where POAsync, ProcessOrderAsync and Web hooks are simulated at 1000 RPS and PO is fired at 600 RPS from batching-processor

----

*Test-cases -*  

* Check stability at 1000TPS of placeorderAsync, processOrderAsync and web hooks
* Check stability of PO at 600 RPS, this traffic should be simulated with batching-processor
* 4 hour test

----

*Test setup -*

# No DB cleanup
# UPS load test JMX for 4 slots

----

*Test monitoring -*

# New Relic monitoring to check TPS being hit
# UPS Cloudwatch dashboard
# MongoDB performance metrics
# RDS metrics 

----

*Results reporting -* 

# Observations and red flags"
Integration Load Test With Roadie,Integration Load Test With Roadie
Load test with self-healing feature [post-dispatch],"*Background -*

* To do a load test with cancel clone.[https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/484114921/Self+Healing|https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/484114921/Self+Healing|smart-link]  

----

*Test-cases -*

# Check place-order TPS and response times in this scenario
# Check the autoscaling.
# Check the cpu and memory utilization. 

----

*Test setup -*

# No DB cleanup
# Create orders already beforehand, setup the orders such that 20% of the orders are marked for post dispatch self healing
# Setup post dispatch settings to simulate the above scenario

----

*Test monitoring -*

# New Relic monitoring to check TPS being hit
# MongoDB performance metrics
# Cloud watch metrics

----

*Results reporting -*

# Observations and red flags"
UPS load test for 24 hours(1 week of operations),"*Background -*

* Vulcan will have traffic for 4 hours. With this card, we want to be ready for entire weeks operation traffic. 

----

*Test-cases -*

# UPS load test for 24 hours
# Check place-order TPS and response times in this scenario
# Check the autoscaling.

----

*Test setup -*

# Upgrade the current setup to support this [https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/686785465/UPS+DS+integration+test+checklist|https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/686785465/UPS+DS+integration+test+checklist|smart-link] for 24 hours.
# No DB cleanup
# Use the same load as mentioned here - [https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/686785465/UPS+DS+integration+test+checklist|https://delivery-solutions.atlassian.net/wiki/spaces/standards/pages/686785465/UPS+DS+integration+test+checklist|smart-link] 

----

*Test monitoring -*

# New Relic monitoring to check TPS being hit
# Check the cpu and memory utilisation. 
# MongoDB performance metrics

----

*Results reporting -*

# Observations and red flags"
Load test with self-healing feature [pre-dispatch] - Alternate DSP,"*Background -*

* To do a load test for pre-dispatch self-healing scenarios with alternate DSPs

----

*Test-cases -*

# Check place-order TPS and response times in this scenario
# Check the autoscaling.
# Check the cpu and memory utilization. 

----

*Test setup -*

# No DB cleanup
# Create orders in such a way that 20% of orders fail to get placed with our DSP and are forced to retry with an alternate DSP via pre-dispatch settings

----

*Test monitoring -*

# New Relic monitoring to check TPS being hit
# MongoDB performance metrics
# Cloud watch metrics

----

*Results reporting -*

# Observations and red flags"
API Rate limit stress test,"*Background -*

* Currently we don’t have any rate limit set in performance. Set the rate limit in aws for a particular tenant. 
** api gateway > usage plans > create a plan > add a tenant.

----

*Test-cases -*

# Rate limit error response when a rate limit is added and the RPS exceeds that limit.
# No rate limit error without that limit for tenant.

----

*Test setup -*

# No DB cleanup
# UPS load test with 100RPS of PO
# Enable gateway logs
# Simulate a randomiser to throw errors in DSP placeorder lambda

----

*Test monitoring -*

# New Relic monitoring to check errors
# Cloudwatch Monitoring

----

*Results reporting -*

# Observations and red flags"
Figure out and test infra scale-up and scale-down ,"*Background -*

* We don't have the exact scaling numbers for Vulcan. We need to find out the Min, Max, and Desired container counts for all the services involved in Vulcan. This will be a similar activity as that performed here - [https://delivery-solutions.atlassian.net/browse/DL-12572|https://delivery-solutions.atlassian.net/browse/DL-12572|smart-link] 
* Note that scale-down policies need to be proper and as accurate as possible.

----

Testing strategy for this card will be to run the full load will all services scaled up and check the container insights for all services. We reduce the number of containers if the memory and CPU utilization is low, and we increase the number of containers if the memory and CPU utilization are high.

----

*Test-cases -*  

# Figure out auto-scaling thresholds needed to scale up and down
# Check scale-up and scale-down of services for 1 slot
# Check scale-up and scale-down of services for all slots
# No deregistrations should be observed, response times should not be affected

----

*Test setup -*

# No DB cleanup
# Enabled container insights of the target service.
# Start with these scaling numbers and increase/decrease the container counts and instances 
!b076d76c-6662-49c5-839d-2dd060a2b68d#media-blob-url=true&id=1bdeab05-d003-4bcc-9e28-f65e706242ae&collection=contentId-694550682&contextId=694550682&height=380&width=769&alt=|width=1537,height=760!
# Short tests with UPS load(1000 RPS)

----

*Test monitoring -*

# Check the average memory and CPU utilization. Reduce the container counts if memory/CPU util is very low

----

*Results reporting -* 

# An Excel sheet with final scaling numbers and auto-scaling thresholds"
Endurance test with Vulcan flow,"*Background -*

* Endurance test with 5x prod along with UPS use case test running parallel.

----

*Test-cases -*

# Check place-order TPS and response times in this scenario (for both tests)
# Check the autoscaling.

----

*Test setup -*

# No DB cleanup
# Active-Active Infra to be set up
# UPS load test with  5x prod config

----

*Test monitoring -*

# New Relic monitoring to check TPS being hit
# Check the cpu and memory utilization. 
# MongoDB performance metrics

----

*Results reporting -*

# Observations and red flags"
Stress test with high TPS(5000) of /placeorderasync API,"*Background -*

* We are currently simulating 1000 TPS of placeorderAsync for UPS tests in 4 slots for 4 hours. We need to do a stress test at a total of 5000TPS with this API and check the stability of the system.

----

*Test-cases -*  

* Check stability at 2000TPS of placeorderAsync + 600TPS webhooks
* If the above works fine, check stability at 5000TPS of placeorderAsync + 600TPS webhooks
* Single-slot test - Identify bottlenecks

----

*Test setup -*

# No DB cleanup
# UPS load test JMX for 1st slot

----

*Test monitoring -*

# New Relic monitoring to check TPS being hit
# UPS Cloudwatch dashboard
# MongoDB performance metrics
# RDS metrics 

----

*Results reporting -* 

# Observations and red flags"
Stress test with high TPS of Roadie webhooks (Live + Order status),"*Background -*

* For UPS tests, we are currently simulating 600 TPS of order status update webhooks for 4 hours. We need to do a stress test at a total of 1000TPS. 500 TPS of order status update and 500 TPS of live webhooks. 

----

*Test-cases -*  

* Check stability at 1000TPS of webhooks alongside 1000TPS of placeorderAsync
* Single-slot test

----

*Test setup -*

# No DB cleanup
# Enable live webhooks from UPS load test JMX

----

*Test monitoring -*

# New Relic monitoring to check TPS being hit
# MongoDB performance metrics
# RDS metrics 

----

*Results reporting -* 

# Observations and red flags"
Auto-retry feature stress test ,After DL-2360 → Test case - Roadie crashes between a high TPS test (Check for fallback DSP)
300 RPS Roadie Integration Test,The task to track 300 RPS Integration tests with Roadie.
Performance Test for Introduce Bulk Cancel and Clone Feature with Updated Order Details (DL-15861),"*Overview:*

* Understand the Tech Solution and the Functional Requirements.
* Set up JMX to test the use case.
* Code review with respect to performance.
* Orders should be processed parallelly.
* Orders should be processed within 30 seconds.
* Our production infra should be able to handle the services without any performance degradation.
* The test should be conducted in such a way that at least 5 concurrent Bulk Cancel and Clone Order API calls are being made per second.

*Happy Flow:* All orders should be processed successfully with Self Delivery.

*Stress Testing:* API should not allow the processing of orders if more than 100 orders are sent. All orders should be processed successfully with a DSP Latency of 4 seconds using an estimate DSP."
Big Lots Test Prep [14th April & 19th April],"# To find Big Lots Test Setup [Rates full address [10 stores external id], SW full address  [10 stores external id], PO and DA-SB with showBoundaries]
# Verify it with bigs logs log for the above flavors
# Simulate Sandbox infra for PO, Rates, and SW
# Simulate Production Infra for DA-SB, remember to scale up ES on perf
# RDS to be used from the performance environment
# DA-SB is to be tested with 250 RPS
# Rest flavors need to be tested with 3 TPS
# Need to verify the scenarios for Biglots
# Move the latest Sandbox MongoDB snapshot to Perf
# Once done we will move DA Traffic to performance servers
## We must use the VPC link as we use NLBs in the performance environment.
## We will point to DA NLB via a VPC link
# Test DA-SB and DA-DSP
# Remove the rate limit before Roadie starts their tests.
# Need to revert changes once done.

DA-SB latency should be within 250 ms.

Need deployment plan when we move traffic. [~accountid:62b548d7f38b4dcf73dae06c] 

----

Scale RDS and check the effect on 200TPS load"
Performance Test of Cognida Integration <DL-14336>,"Performance test of the Cognida Integration:

* Check the performance of the following services.
** Rates
** DA-DSP
** DA-DSP show Estimates
** Get Estimates
* 
* Do a code review of the prediction engine library with respect to performance and highlight red flags if any.
* Do a code review of the prediction engine library integration in Rates, DA, and Estimates with respect to performance and highlight red flags if any.
* Monitor the Database during your tests and highlight red flags if any.
* Monitor the server metrics of the following during your tests and highlight red flags if any:
** Rates
** DA
** Prediction Provider [Cognida]
** Estimates
* Need final recommendations on the following if the existing setup is not efficient for our production use cases:
** Instance Type to be used for:
*** Rates
*** DA
*** Prediction Provider [Cognida]
*** Estimates
** Autoscaling Policies for:
*** Rates
*** DA
*** Prediction Provider [Cognida]
*** Estimates
** Alarms for the Autoscaling Policies for:
*** Rates
*** DA
*** Prediction Provider [Cognida]
*** Estimates
** Configuration for Capacity Provider for:
*** Rates
*** DA
*** Prediction Provider [Cognida]
*** Estimates
** Resources to be allocated to the following[task level or container level memory and cpu]:
*** Rates
*** DA
*** Prediction Provider [Cognida]
*** Estimates"
Belk shipping performance test,"Hi Sukumar and Sharmil,

Belk is asking for some specific load test data in order to decide whether to give us their shipping business.

We would like to show this info based on 40 TPS, 75 TPS, and 100 TPS (their max volume is around 90 TPS around Cyber Monday)

Here are the scenarios:

* Entire Place Order Process in under 5 seconds (Get Rates, Place Order, Send to Shipper, Label Creation, etc)
* Label Generation, download, send to printer process in the 2-3 second range
* Label generation and download to be sub 2 seconds
* Label Generation in less than 1 second"
Load test with Roadie for batch API,"We want to test the interaction between Roadie and DS. Check if we override provides estimates = false will work for roadie as Vulcan will not have Estimates call

1st Test- Low TPS, batchSequence, routeId, Webhooks

Consequent tests for Higher TPS"
Performance test for DL-13220 (Returns),Performance test for [https://delivery-solutions.atlassian.net/browse/DL-13220|https://delivery-solutions.atlassian.net/browse/DL-13220|smart-link]
Performance Evaluation of v2/filter request/response cleanup for rates service,
Script to get tcpdump from instance to local machine,"In order to analyze the traces on Wireshark, we need to get the tcpdump from the instance. This is the process - 

*How to get TCP dump for Wireshark analysis -* 

# Connect to ec2 using the session manager
# Install AWS CLI - 
{noformat}curl ""https://awscli.amazonaws.com/awscli-exe-linux-x86_64.zip"" -o ""awscliv2.zip""
yum install unzip
unzip awscliv2.zip
sudo ./aws/install{noformat}
# Add AmazonS3FullAccess policy to the IAM role of the instance
# Install tcpdump -
{noformat}yum install tcpdump{noformat}
# Run tcpdump command -
{noformat}tcpdump -i en0 -s 65535 -w <file_name>.pcap{noformat}
# Shift the file in the S3 bucket -
{noformat}/usr/local/bin/aws s3 cp <file_name>.pcap s3://<target_bucket_name>{noformat}



This process is completely manual right now. We need to create bash scripts to automate this."
Performance Evaluation Test for Reduce Event Loop Delay,
Add ability to restrict LMA Admins to specific businesses,"W2G is using 4 dsps - FedEx, USPS, UPS and DHL. They can create ZPL and PDF labels. We have to create a matrix at 200 RPS to understand the performance for the provider and label type combinations"
Multi-storeExternalId performance metrics,"Can you share the response time for the below, please note it's for the BL use case (BL staging configs applicable)



# rate call (with different store count), 
# DA -SB  (driving distance soln, random zips with different store count)
# SW (provider windows for PN)
# Create order (PN)"
Performance Test for DA Store Boundary Call,"* We have recently introduced ISOLine Boundaries for BigLots 
* It has more Points than the usual Boundaries. 
* We just want to ensure that it's not causing any degradation of the overall response. 
* Also get P95 & P99 for BL use case for DA 
* {noformat}curl --location --request POST 'https://sandbox.api.deliverysolutions.co/api/v2/deliveryAssurance' \
--header 'x-api-key: <API KEY BL>' \
--header 'tenantId: big_lots' \
--header 'cache-control: no-cache' \
--header 'content-type: application/json' \
--header 'request-id: 12345' \
--data-raw '{
    ""services"": [
        ""store-boundary""
    ],
    ""deliveryAddress"": {
        ""zipcode"": ""43228""
    },
    ""showBoundaries"":true,
    ""sortByDistance"" : true
     
}'{noformat}

"
Endurance Test - Oct -2022,
Migrate Sandbox Snapshot to Performance Cluster,Need a way to snapshot Sandbox Cluster and migrate the same to performance cluster
Performance Test of Provide Dynamic Windows Instead of Statically Defined Windows,
UPS Compliance Training - Optimisation - Nihal,
Clean up performance environment,
Need to setup a dashboard to view metrics at a glance of our performance services,"The performance dashboard should be a replica of the current production-performance-dashboard, [https://onenr.io/0MR2AY8eGwY|https://onenr.io/0MR2AY8eGwY].

It should cover at least the following services:

* Place Order
* Delivery Assurance
* Rates
* Smart Windows
* Edit Order
* Cancel Order
* Webhooks
* Notification
* DSP
* Overall Prod

And should cover at least the following metrics

* Tenant Wise RPM
* Tenant wise Max Response Times
* Tenant wise Average Response Times
* Tenant wise P95 Response Times
* Tenant wise P99 Response Times
* CPU Utilisation
* Memory Utilisation
* API Response Status RPM
* Throughput
* Request Count
* Tenant Wise Errors
* Errors"
Investigate why DA DSP caching performance degraded in 22.0.0,
Setup separate database for perform various test ,
Performance Benchmarking for Client Facing APIs (S2022-25.2.0 27-OCT-22),
Performance of all APIs (S2022-25.2.0 27-OCT-22),
Performance Benchmarking for Client Facing APIs (S2022-24.0.0 13-Sep-22),
Performance of all APIs (S2022-24.0.0 13-SEP-22),
Performance Benchmarking for client facing APIs (S2022-23.2.0 30-AUG-22),
Performance of all APIs (S2022-23.2.0 30-AUG-22),
Performance Benchmarking for client facing APIs (S2022-22.2.0 2-AUG-22),
Performance of all APIs (S2022-22.2.0 2-AUG-22),
Performance Test on Shopper & Runner implementation,
Performance test for the Order flow rewrite & locker facility,
Try increasing U Limit similar to API to check Rates Service performance for multiple store external ids,"It is observed that APIs are getting lagged due to network latency. Despite increase in number of containers, rates API performance did not improve for high number of store external ids. [~accountid:5f96548ac824730070ff11c2] suggested that this may be due to ULimit issues and number of async calls being made in the microservice. Hence, we need to explore this change and see what is the impact on rates service.

If it solves, then we also need to understand what ulimit should be set and what is the impact it has on performance"
Preparation for Big Lots Load Test,"*Details of Big Lots Load Test*

The idea is to do Website load test with 20K Vusers for 2 hours using Neoload.


Hi Zalak,

The load test is planned on 1/10 and 1/12 – 7 to 9 AM EST

 

|*Load Level*|*No of Vusers*|*Duration*|*Total Orders*|*DFS Orders*|
|1X ramp up|20 K|15 min| | |
|1X steady state|20 K|60 min|4500|225|
|Ramp Down| |10 min| | |
|*Total Duration*| |1 hour 25 min| | |

 

 

 

 

 

 

 

 "
Ability to launch and terminate a service's load balancer during performance tests,"Now that we have moved to NLB for all the services, we do not have a route 53 url for the services in the management account. The DNS resolution for the load balancers are done using the [deliverysolutions-internal.co|http://deliverysolutions-internal.co] domain. This is declared in the our route 53 hosted-zone in non-prod environment. Hence, instead of keeping load balancers alive throughout the month, we should keep them alive only during the tests.

In the performance admin backend, introduce ability to launch load balancer during a performance test, associate it with a target, change the route 53 value to this load balancer. Once, test is done, we should terminate the load balancer. We should save about $150+ per month



!Screenshot 2024-06-07 at 3.20.40 PM.png|width=751,height=223,alt=""Screenshot 2024-06-07 at 3.20.40 PM.png""!"
Performance Evaluation Test of <DL-4602>,
