summary,description
Performance testing on performance transformer service,"Post completing the linked card ([DL-34293|https://delivery-solutions.atlassian.net/browse/DL-34293]), we would like to have a performance testing done on the [http://transformer-service-dev.deliverysolutions-internal.co/predict/provider-assurance|http://transformer-service-dev.deliverysolutions-internal.co/predict/provider-assurance] link 

Expectations : 

* understand the TPS
* understand average response time. (in per mins & per sec format)



sample curl request 

{noformat}curl --location 'http://transformer-service-dev.deliverysolutions-internal.co/predict/provider-assurance ' \
--header 'tenantId: testingdeliverysolutions' \
--header 'x-api-key: eGtuOktac7QjFHKuWUzU4A==' \
--header 'Content-Type: application/json' \
--header 'X-Amz-Content-Sha256: beaead3198f7da1e70d03ab969765e0821b24fc913697e929e726aeaebf0eba3' \
--header 'X-Amz-Date: 20240320T134236Z' \
--header 'Authorization: AWS4-HMAC-SHA256 Credential=AKIAXLUO2FUSYT3PMD6H/20240320/us-west-2/sagemaker/aws4_request, SignedHeaders=content-length;content-type;host;tenantid;x-amz-content-sha256;x-amz-date;x-api-key, Signature=064165d58e1f581dc289374267461cfbeedec81edd3ce37444eefa1c4a1c06bd' \
--data '[
    {
        ""pickupAddress"": {
            ""zipcode"": ""60445"",
            ""latitude"": 41.65228,
            ""longitude"": -87.7415368
        },
        ""deliveryAddress"": {
            ""zipcode"": ""60527"",
            ""latitude"": 41.7447,
            ""longitude"": -87.9334
        },
        ""showProvidersConfidence"": true,
        ""providers"": [
            ""Roadie"",
            ""DoorDash""
        ]
    },
    {
        ""pickupAddress"": {
            ""zipcode"": ""40299"",
            ""latitude"": 38.2215789,
            ""longitude"": -85.5404399
        },
        ""deliveryAddress"": {
            ""zipcode"": ""40299"",
            ""latitude"": 38.1673072,
            ""longitude"": -85.4994192
        },
        ""showProvidersConfidence"": true,
        ""providers"": [
            ""PickupNow"",
            ""Roadie"",
            ""DoorDash""
        ]
    },
    {
        ""pickupAddress"": {
            ""zipcode"": ""55125"",
            ""latitude"": 44.9393217,
            ""longitude"": -92.93968149999999
        },
        ""deliveryAddress"": {
            ""zipcode"": ""55075"",
            ""latitude"": 44.8759802,
            ""longitude"": -93.0275802
        },
        ""showProvidersConfidence"": true,
        ""providers"": [
            ""Shipt 2"",
            ""Roadie"",
            ""DoorDash""
        ]
    },
    {
        ""pickupAddress"": {
            ""zipcode"": ""23666"",
            ""latitude"": 37.0446924,
            ""longitude"": -76.3859754
        },
        ""deliveryAddress"": {
            ""zipcode"": ""23608"",
            ""latitude"": 37.1526,
            ""longitude"": -76.542
        },
        ""showProvidersConfidence"": true,
        ""providers"": [
            ""PickupNow"",
            ""Roadie"",
            ""DoorDash""
        ]
    },
    {
        ""pickupAddress"": {
            ""zipcode"": ""99336"",
            ""latitude"": 46.2196236,
            ""longitude"": -119.2272055
        },
        ""deliveryAddress"": {
            ""zipcode"": ""98374"",
            ""latitude"": 47.1487808,
            ""longitude"": -122.2507226
        },
        ""showProvidersConfidence"": true
    }
]'{noformat}

----

Important for test setup  [~accountid:62e7989bec6b328032f0a332] - 

* For transformer service card make sure we have unique delivery and pickup address in each request in the test suite execution. Dont use a single set of pickup and delivery address for the complete load test
* Use new zipcodes for all requests. 
* Use only those zips that are available in zip shapers for flavour without Lat-long."
Perf - Analyse the cross zone load balancing impact on ECS service,"As per [DL-33735|https://delivery-solutions.atlassian.net/browse/DL-33735] , I have analysed few service with cross zone LB enabled and disabled with 1, 2, 3 instances spread across the AZ and how the requests moving to targets in all these scenarios. 
Please got through the tech solutioning, and replicate this on performance environment and give confirmation on if we can move ahead by enabling cross zone LB for all the services."
Calibrate the maximum number of connections in pool for postgres client in ETA Service,Calibrate the maximum number of connections in pool for Postgres client in the ETA Service
Performance analysis of risk-score in DA,"!image-20240308-130900.png|width=1397,height=935!"
Evaluate the Spot.io launched instances with ECS for Perf ENV Generic and Endurance Tests,"[http://Spot.io|http://Spot.io|smart-link], a platform designed to simplify the process of launching and managing spot instances. Here's a more readable summary of the key points:

# [http://Spot.io|http://Spot.io|smart-link]  *Functionality:*
#* [http://Spot.io|http://Spot.io|smart-link] serves as a platform for launching and managing spot instances.
#* It analyzes cluster and service metrics to determine the optimal conditions for launching spot instances.
# *Instance Launching:*
#* [http://Spot.io|http://Spot.io|smart-link] dynamically launches spot instances based on the analyzed cluster and service metrics.
#* The instances can be of any type, providing flexibility in the choice of instance types.
# *Instance Registration:*
#* Launched spot instances are registered within the cluster.
#* Unlike traditional Auto Scaling Groups (ASG), spot instances are not directly managed within an ASG.
# *ASG Adjustment:*
#* The POC suggests a model where the ASG count is decreased to accommodate the newly launched spot instances.
#* It ensures that the desired number of instances is maintained in the ASG.
# *Service Management:*
#* Services running in the cluster need to be configured to utilize the new spot instances.
#* The POC likely involves mechanisms to ensure that services are launched on the newly registered spot instances.

This approach allows for a more dynamic and flexible management of spot instances, optimizing resource utilization based on real-time cluster and service metrics. It represents a departure from the traditional ASG-centric model, providing more agility and efficiency in managing instances within a cluster.

*Cost Analysis sheet*
[https://docs.google.com/spreadsheets/d/1mJUADg0zUUvr72IWyd8cUyRN7wk3TSA3uX9QzMIhiic/edit#gid=0|https://docs.google.com/spreadsheets/d/1mJUADg0zUUvr72IWyd8cUyRN7wk3TSA3uX9QzMIhiic/edit#gid=0|smart-link] "
Impact analysis on purge script for collections as per new retention policy implementation,
Update Performance CloudWatch dashboard with new and updated services,"* The Infra team has shifted to NLB services from ALBs, we need to update the service names in this dashboard - [https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#dashboards/dashboard/performance_dashboard|https://us-west-2.console.aws.amazon.com/cloudwatch/home?region=us-west-2#dashboards/dashboard/performance_dashboard] 
* Also, add the metrics of the following services in the dashboard similar to others - 
** messaging-service
** communications-service
** communications-retry-service
** cron-service
** batch-processor
** routing-service
** fleet-routing-service
* Also, add the following metrics - 
** RDS - 
*** CPU
*** DatabaseConnections
*** WriteLatency
** Elastic cache - 
*** Engine CPU
*** CPU Utilization
*** Current Connections
*** New Connections
*** Cache Hit Count
*** Get Type Command Count
** SQS Metrics -
*** Approximate Age Of Oldest Message
*** Number Of Messages Received
*** Number Of Messages Deleted
*** Sent Message Size"
Performance benchmarking for Client Facing APIs (For Sandbox S2024-PP-65.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-DM-64.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-IA-63.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-OP-66.0.0),
Perf - Setup the code and infra for regression,"[Perf] ALB to NLB migration task -

# Deploy {{qa}} branch on API, SW, DA
# Check TDs for following services - DA, Rates, SW, Estimates, SB. Check if anything is pointing to sandbox, if yes shift to performance. NODE_ENV should be {{qa}}
# Spin up following services - API, notifications, messaging, DA, Rates, SW, Estimates, SB
# Make changes in Admin panel to scale up NLB services. Also changes TD name.
# Scaling numbers will be 5 containers/service
# [@Girish|https://delivery-solutions.slack.com/team/U03LTHRA9B8] will migrate the latest QA snap to performance.
# Verify the generic flavours specific to the above services"
Perf - Generic Test the newly provisioned NLB services.,"As part of Phase one we have provisioned below NLB services.

{noformat}Delivery-assurance
Estimates
Rates
Smart Windows
Store boundaries{noformat}

Please perform generic tests covering the code changes and features.

[~accountid:5ee75f40e145af0ab47dacb8] As discussed assigning the ticket to perf team. Please add if the details of testing that you will perform."
Efficient use of single S3 bucket during serverless deployments,"Additional Requirements that need to be done in the serverless lambda and probably jenkins

* Both the lambdas should have only 1 bucket per account
* There should be separate folders of dev, qa, sandbox, perf inside a single bucket with the code
* The name of the bucket should be the name of the service. It should not be followed by random text which is added when serverless creates the bucket
* Delete all old buckets related to these services
This is the tentative list:

|[+smart-scaling-function-d-serverlessdeploymentbuck-11gt2708f80cq+|https://s3.console.aws.amazon.com/s3/buckets/smart-scaling-function-d-serverlessdeploymentbuck-11gt2708f80cq?region=us-west-2]|
|[+smart-scaling-function-d-serverlessdeploymentbuck-1fxvj77ht5puh+|https://s3.console.aws.amazon.com/s3/buckets/smart-scaling-function-d-serverlessdeploymentbuck-1fxvj77ht5puh?region=us-west-2]|
|[+smart-scaling-function-d-serverlessdeploymentbuck-6zs33ktmytsh+|https://s3.console.aws.amazon.com/s3/buckets/smart-scaling-function-d-serverlessdeploymentbuck-6zs33ktmytsh?region=us-west-2]|
|[+smart-scaling-function-p-serverlessdeploymentbuck-18c5q89issa41+|https://s3.console.aws.amazon.com/s3/buckets/smart-scaling-function-p-serverlessdeploymentbuck-18c5q89issa41?region=us-west-2]|
|[+smart-scaling-function-q-serverlessdeploymentbuck-1oq9yfoqmllb8+|https://s3.console.aws.amazon.com/s3/buckets/smart-scaling-function-q-serverlessdeploymentbuck-1oq9yfoqmllb8?region=us-west-2]|
|[+smart-scaling-function-v-serverlessdeploymentbuck-x77m1nh0rkcl+|https://s3.console.aws.amazon.com/s3/buckets/smart-scaling-function-v-serverlessdeploymentbuck-x77m1nh0rkcl?region=us-west-2]|
|[+smart-scaling-perftest-serverlessdeploymentbucket-186mp1t4jg95t+|https://s3.console.aws.amazon.com/s3/buckets/smart-scaling-perftest-serverlessdeploymentbucket-186mp1t4jg95t?region=us-west-2]|
|[+smart-scaling-sandbox-serverlessdeploymentbucket-xv3iqtl1puer+|https://s3.console.aws.amazon.com/s3/buckets/smart-scaling-sandbox-serverlessdeploymentbucket-xv3iqtl1puer?region=us-west-2]|



Explore - [https://www.serverless.com/plugins/serverless-deployment-bucket|https://www.serverless.com/plugins/serverless-deployment-bucket|smart-link] "
Performance benchmarking for Client Facing APIs (For Sandbox S2024-PP-61.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-DM-60.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-IA-59.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2024-OP-62.0.0),
Performance of all APIs (For Sandbox S2024-OP-62.0.0),
Performance analysis of Place Order flow with Post-Dispatch Exceptions,
Performance test of Predictive ETA/ETD,Need to check the existing suite
Dry run setup and execution for migration of timingsOverride collection,"h3. Background & Requirements

To identify the risks, issues and execution for [https://delivery-solutions.atlassian.net/browse/DL-6353|https://delivery-solutions.atlassian.net/browse/DL-6353|smart-link] , we will be picking up {{timingsOverride}} collection.

In this dry run, the following things need to be taken care of - 

* Dry runs variations -
** Happy flow
** Roll Back with Bi-directional flow(As per [~accountid:62fdd6409c368329a7afdb36]'s recommendation)
* Environment to be used - {{performance}}
* We will be completing the following tasks to migrate {{timingsOverride}} - 
** [https://delivery-solutions.atlassian.net/browse/DL-30546|https://delivery-solutions.atlassian.net/browse/DL-30546|smart-link] 
** [https://delivery-solutions.atlassian.net/browse/DL-30548|https://delivery-solutions.atlassian.net/browse/DL-30548|smart-link] 
* We will set up a JMX script to simulate the load. The load should be equal to the current order load in production.
* We will also have a script to compare a document from one DB with the document in another DB.
* This dry run also requires infra changes before and during the test. The changes include - 
** Setup and verify smart windows and API services in NV region in performance env
** Verify the 50-50 distribution of load in performance env
** Verify and dry run the deployment process in the Oregon & NV region in performance env
* QAs need to have visibility added in their test cases to check for issues during deployment

----

h3. Dry run execution process

h4. Step 1 [Pre-Migration] - 

* Migrate QA snapshot to perf cluster - [~accountid:62fdd6409c368329a7afdb36] 
* Execute the JMX with the desired load for 60 minutes to get a benchmark.
* Observe the DB metrics. These will be considered steady-state metrics.

h4. Step 2 [During Migration, Initial sync, No application side changes] - 

* Execute the same JMX used in the previous step without any changes for 60 mins
* Carefully observe every DB metric

h4. Step 3 [During Migration, real-time sync, No application side changes] - 

* Execute the same JMX used in the previous step without any changes for 60 mins
* Carefully observe every DB metric

h4. Step 4 [Post Migration, application side changes] - 

* Execute the same JMX used in the previous step without any changes for 60 mins
* Shift the traffic on performance env to one of the regions from Route 53(master account)
* Deploy the new application to the region without any traffic
* Once the deployment is complete, shift the complete traffic to this region(with the new application code) - Code changes + ENV variable changes
* Deploy the new application to the remaining region
* Once the deployment is complete, shift the traffic to 50-50 in both regions.
* Observe the DB metrics during the whole process
* QA to check the issues during the whole process



Step-4  will be repeated for rollback tests"
Performance benchmarking for Client Facing APIs (For Sandbox S2024-OR-58.0.0),
Load Test on Timings Override on a dummy Tenant on Production during Deployment,"Load Test on Timings Override on a dummy Tenant on Production during Deployment.

The test should override existing timingsOverrides and also be able to create new ones. The test should perform a load test on smartWindows API and assert whether the APIs are working as expected.

The load should be 1x of the current production traffic."
Load Test on Timings Override on a dummy Tenant on Sandbox during Deployment,"Load Test on Timings Override on a dummy Tenant on Sandbox during Deployment

The test should override existing timingsOverrides and also be able to create new ones. The test should perform a load test on smartWindows API and assert whether the APIs are working as expected.

The load should be 1x of the current production traffic."
Performance benchmarking for Client Facing APIs (For Sandbox S2023-PP-57.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2023-DM-56.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2023-IA-55.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2023-OR-54.0.0),
Add the new collections from dev-log-cluster used in Generic and Endurance Tests in the cleanup script,"* Add the new collections from dev-log-cluster used in Generic and Endurance Tests in the cleanup script
* Also, add a script to cleanup the cache for Endurance and Generic tenants"
Run protectionRule migration on Endurance tenants in QA,
Performance Testing of OSRM,Perform functional testing of OSRM to validate that it accurately calculates delivery distances for different combinations of stops.
Add ZPL flavour in generic suite to check labels performance,"# Point the endpoint to QA
# Connect with [~accountid:5d358723f8be2f0c20bb5755] to understand ZPL flavor in labels  - Check if we have new and old labels for ZPL file type as well.
# Create the required cURL
# Add the flavour to the Generic suite "
Point all the API endpoints to performance in All API suite,"We point some of the APIs to sandbox in all API suites - 

!image-20231114-080321.png|width=1590,height=878!

Changes needed - 

* Add the missing routes in the performance API gateway
* Changes in JMeter to point to performance endpoint"
Performance benchmarking for Client Facing APIs (For Sandbox S2023-PP-53.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2023-DM-52.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2023-IA-51.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2023-OR-50.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2023-PP-49.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2023-DM-48.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2023-IA-47.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2023-OR-46.0.0),
Performance benchmarking for Client Facing APIs (For Sandbox S2023-PP-45.0.0),
Performance benchmarking for Client Facing APIs  (For Sandbox S2023-DM-44.0.0),
Setting up Mock Providers for Big Lots,"We need to evaluate the production latency for all the providers assigned to big lots and set up mock providers simulating the same latency, these mock providers will help us simulate a production-like behavior for big lots providers and to emulate run their load tests as expected.

Once the mock providers are set, perform a load test with the same load that Big Lots sends to the DS performance environment during their load test and confirm the latency of our services, especially rates and smart windows. 

The expectations are that the latencies should be in milliseconds.

* For getting the list of providers to mock, check the Biglots tenant on sandbox"
Ability to refresh token for New Labels ,"In a generic test suit, the New Labels API has a token. By the time the New Labels thread group is started, this token expires and we get 100% error rates. We need to fix this using the following approach - 

* Study JSON/regex extractor plugin in JMeter
* Add a PO call to get the labels link in response and extract this link.
* Use this link in the New Labels thread group
* Implement and test the same in the Generic suite
* Things to test - 
** Check token expiry time
** Check if we will have to make multiple PO calls in case the token gets expire in the middle of the load test"
Performance benchmarking for Client Facing APIs  (For Sandbox S2023-IA-43.0.0),
Test suite creation,Create the requisite test suite for it. Do trials and get approval for the SLAs and the testing method
Script to add test to Graphana,Add records of the test to graphana. Create a script for the same
Convert perf admin portal into SSR and host it inside the grafana server,"h2. Background

The UPS Penetration testing team has reported some issues with the performance admin portal. They state that they need to scan it as it is internet-facing. We do not want to bring this portal into their purview of penetration testing. Hence, we should host this portal server side and keep it accessible only through VPN. This way we can avoid penetration testing on it as it is internal. We have committed that this will be done by November end

----

h2. Tech Solution

h3. Converting existing portal to SSR - 

# Update {{ngx-spinner}} package to version → '{{14.0.0}}'
# Run {{npx ng add @nguniversal/express-engine@14.0.0}}
# The above command will install  nguniversal/express-engine and create/update the below files - 
{noformat}CREATE src/main.server.ts (677 bytes)
CREATE src/app/app.server.module.ts (318 bytes)
CREATE tsconfig.server.json (296 bytes)
CREATE server.ts (2023 bytes)
UPDATE package.json (1843 bytes)
UPDATE angular.json (6052 bytes)
UPDATE src/main.ts (536 bytes)
UPDATE src/app/app.module.ts (3251 bytes)
UPDATE src/app/app-routing.module.ts (3766 bytes){noformat}
# In {{server.ts}} file, change the port to 4200
# Update the {{hostname}} in {{server.listen}} function to {{'0.0.0.0'}}
# Use {{index.html}} instead of {{index.original.html}} which gets assigned to {{const indexHtml}} in server.ts
# Run {{npm run dev:ssr}} to check if the app runs locally. Note that the login page should now be loaded server-side
!image-20240926-130049.png|width=1907,height=1007,alt=""image-20240926-130049.png""!
# Once this is successful, run {{npm run build:ssr}} to create the build
# Run {{npm run serve:ssr}} to run and confirm the build. API calls should work 

h3. Deploy the SSR app - 

# We will be hosting the admin panel as a systemd service on {{Perf-loadTesting-server}}
# Create a folder under ubuntu user - {{/home/ubuntu/performance-admin-panel}}
# Copy the dist from local to the created folder on server
# Create {{systemd}} service under {{/etc/systemd/system}} named → performance_admin_panel.service
# These should be the content of the service - 
{noformat}[Unit]
Description=Performance Admin Panel
After=network.target

[Service]
ExecStart=/usr/bin/node /home/ubuntu/performance-admin-panel/dist/my-app/server/main.js
Restart=on-failure
WorkingDirectory=/home/ubuntu/performance-admin-panel
User=ubuntu
Environment=NODE_ENV=production
StandardOutput=syslog
StandardError=syslog
SyslogIdentifier=performance-admin-panel

[Install]
WantedBy=multi-user.target{noformat}
# Run {{systemctl daemon-reload}}
# Enable and Start the {{performance_admin_panel.service }}using {{systemctl}} commands
# Start the service and test the admin panel functionalities on this URL →  {{http://10.10.3.122:4200/}}

h3. Changes in deploy.sh -

# Remove these statements 
{noformat}npm run build
aws s3 sync ./dist/ s3://performance-ds-admin
aws cloudfront create-invalidation --distribution-id E2BZI0S1U6XJIV --paths ""/*""{noformat}
# Add bash statements to -
## Run {{npm run build:ssr}}
## SSH into the server
## Copy/Replace the dist from the local to the server folder
## Restart the systemd performance_admin_panel.service

h3. Discontinue Client-side Rendered Admin Panel - 

# After confirming, testing and getting reviewed by peer, ask Infra team to take the linked card"
JMeter version upgrades / older version deletion,"We have to update / remove software that are listed below. The object is to show that the Log4j versions above 2.17 are only present

||*Server*||*Folder*||*Action*||
|i-0da84653ef5865bca clone-Loadtesting-server-private-1|/home/jenkins/apache-jmeter-5.4.1/|Delete as there are higher versions in /home/ubuntu/loadtesting/apache-jmeter-5.5|
|i-0da84653ef5865bca clone-Loadtesting-server-private-1|/home/ubuntu/apache-jmeter-5.4.1|Delete as there are higher versions in /home/ubuntu/loadtesting/apache-jmeter-5.5|
|i-0da84653ef5865bca clone-Loadtesting-server-private-1|/home/ubuntu/__MACOSX/apache-jmeter-5.4.1|Delete as there are higher versions in /home/ubuntu/loadtesting/apache-jmeter-5.5|
|i-08de489c6316a61ad (Jenkins CI/CD Server-Testing-slack-notifications)|/opt/jmeter/apache-jmeter-5.3|Delete as we are not using jmeter on this server|
|i-08de489c6316a61ad (Jenkins CI/CD Server-Testing-slack-notifications)|/home/ubuntu/apache-jmeter-5.2.1|i-08de489c6316a61ad (Jenkins CI/CD Server-Testing-slack-notifications)|
|i-0da84653ef5865bca clone-Loadtesting-server-private-1|/home/jenkins/apache-jmeter-5.4.1/|Delete as there are higher versions in /home/ubuntu/loadtesting/apache-jmeter-5.5|
|i-0da84653ef5865bca clone-Loadtesting-server-private-1|/home/ubuntu/apache-jmeter-5.4.1|Delete as there are higher versions in /home/ubuntu/loadtesting/apache-jmeter-5.5|
|i-0da84653ef5865bca clone-Loadtesting-server-private-1|/home/ubuntu/__MACOSX/apache-jmeter-5.4.1|Delete as there are higher versions in /home/ubuntu/loadtesting/apache-jmeter-5.5|
|i-08a05d6733454c9ec (LoadTestingPrivateProd2)|/home/jenkins/apache-jmeter-5.4.1/|Delete as there are higher versions in /home/ubuntu/loadtesting/apache-jmeter-5.5|
|i-08a05d6733454c9ec (LoadTestingPrivateProd2)|/home/ubuntu/apache-jmeter-5.4.1|Delete as there are higher versions in /home/ubuntu/loadtesting/apache-jmeter-5.5|
|i-08a05d6733454c9ec (LoadTestingPrivateProd2)|/home/ubuntu/__MACOSX/apache-jmeter-5.4.1|Delete as there are higher versions in /home/ubuntu/loadtesting/apache-jmeter-5.5|"
Performance benchmarking for Client Facing APIs  (For Sandbox S2023-OR-42.0.0),
Endurance Test - Dec-24,
Endurance Test - NOV-24,
Endurance Test - Oct-24,
Endurance Test - Sep-24,
Endurance Test - Aug-24,
Endurance Test - Jul-24,
Endurance Test - Jun-24,
Endurance Test - May-24,
Endurance Test - Apr-24,
Performance of all APIs (For Sandbox S2024-OP-101.0.0),
Performance of all APIs (For Sandbox S2024-PP-97.0.0),
Performance of all APIs (For Sandbox S2024-PP-93.0.0),
Performance of all APIs (For Sandbox S2024-PP-89.0.0),
Performance of all APIs (For Sandbox S2024-PP-85.0.0),
Performance of all APIs (For Sandbox S2024-PP-81.0.0),
Performance of all APIs (For Sandbox S2024-PP-77.0.0),
Performance of all APIs (For Sandbox S2024-PP-73.0.0),
Performance of all APIs (For Sandbox S2024-PP-69.0.0),
Performance of all APIs (For Sandbox S2024-PP-65.0.0),
Performance of all APIs (For Sandbox S2024-PP-61.0.0),
Performance of all APIs (For Sandbox S2024-PP-57.0.0),
Performance of all APIs (For Sandbox S2024-PP-100.0.0),
Performance of all APIs (For Sandbox S2024-IAF-96.0.0),
Performance of all APIs (For Sandbox S2024-DM-92.0.0),
Performance of all APIs (For Sandbox S2024-DM-88.0.0),
Performance of all APIs (For Sandbox S2024-DM-84.0.0),
Performance of all APIs (For Sandbox S2024-DM-80.0.0),
Performance of all APIs (For Sandbox S2024-DM-76.0.0),
Performance of all APIs (For Sandbox S2024-DM-72.0.0),
Performance of all APIs (For Sandbox S2024-DM-68.0.0),
Performance of all APIs (For Sandbox S2024-DM-64.0.0),
Performance of all APIs (For Sandbox S2024-DM-60.0.0),
Performance of all APIs (For Sandbox S2024-DM-56.0.0),
Performance of all APIs (For Sandbox S2024-DM-99.0.0),
Performance of all APIs (For Sandbox S2024-DM-95.0.0),
Performance of all APIs (For Sandbox S2024-IA-91.0.0),
Performance of all APIs (For Sandbox S2024-IA-87.0.0),
Performance of all APIs (For Sandbox S2024-IA-83.0.0),
Performance of all APIs (For Sandbox S2024-IA-79.0.0),
Performance of all APIs (For Sandbox S2024-IA-75.0.0),
Performance of all APIs (For Sandbox S2024-IA-71.0.0),
Performance of all APIs (For Sandbox S2024-IA-67.0.0),
Performance of all APIs (For Sandbox S2024-IA-63.0.0),
Performance of all APIs (For Sandbox S2024-IA-59.0.0),
Performance of all APIs (For Sandbox S2024-IA-55.0.0),
Performance of all APIs (For Sandbox S2024-IA-98.0.0),
Performance of all APIs (For Sandbox S2024-OR-94.0.0),
Performance of all APIs (For Sandbox S2024-OP-86.0.0),
Performance of all APIs (For Sandbox S2024-OR-82.0.0),
Performance of all APIs (For Sandbox S2024-OP-78.0.0),
Performance of all APIs (For Sandbox S2024-OP-74.0.0),
Performance of all APIs (For Sandbox S2024-OP-70.0.0),
Performance of all APIs (For Sandbox S2024-OR-66.0.0),
Performance of all APIs (For Sandbox S2024-OR-62.0.0),
Performance of all APIs (For Sandbox S2024-OR-58.0.0),
Performance of all APIs (For Sandbox S2024-OR-54.0.0),
Endurance Test -Dec-23,
Endurance Test -Oct-23,
Performance of all APIs (For Sandbox S2023-PP-53.0.0),
Performance of all APIs (For Sandbox S2023-DM-52.0.0),
Performance of all APIs (For Sandbox S2023-IA-51.0.0),
Performance of all APIs (For Sandbox S2023-OR-50.0.0),
Performance of all APIs (For Sandbox S2023-PP-49.0.0),
Performance of all APIs (For Sandbox S2023-DM-48.0.0),
Performance of all APIs (For Sandbox S2023-IA-47.0.0),
Performance of all APIs (For Sandbox S2023-OR-46.0.0),
Performance of all APIs (For Sandbox S2023-PP-45.0.0),
Performance of all APIs (For Sandbox S2023-DM-44.0.0),
Performance of all APIs (For Sandbox S2023-IA-43.0.0),
Performance of all APIs (For Sandbox S2023-OR-42.0.0),
Performance Test Setup for Big Lots Test (02-Oct-23),"

|Scope Definition|Expectations / Desired Outcomes|Expected RPS|Expected Latency|Requested Date & Time|Requested Run Time|Timezone|
|80,000 concurrent vusers, 6 hours|Make DS - Performance Test environment available for the load test|167|150|9/28/2023|6|EST|"
Performance of all APIs  (For Sandbox S2023-PP-41.0.0),
Performance of all APIs  (For Sandbox S2023-IA-39.0.0),
Performance Test for <DL-23549> - Manifest,
Performance benchmarking for Client Facing APIs  (For Sandbox S2023-PP-41.0.0),
Performance benchmarking for Client Facing APIs  (For Sandbox S2023-OR-38.0.0),
Fix issues with All API suite for QA environment,"* In All API suites, we have routes that point to both performance and sandbox.
* As we are restoring QA to performance, sandbox routes should work as expected.
* We need to add a new tenantId, x-api-key for the QA tenant that will be used for performance endpoints and maintain existing tenantId, x-api-key for Sandbox endpoints. 
* Create a user in QA and add the userId in the All API JMX"
Performance of all APIs (For Sandbox S2023-OR-38.0.0),
Performance benchmarking for Client Facing APIs  (For Sandbox S2023-PP-37.0.0),
Performance of all APIs  (For Sandbox S2023-36.2.0 / S93),
Performance benchmarking for Client Facing APIs  (For Sandbox S2023-36.2.0 / S93),
Performance analysis of PO for shipping type Orders,
Ability to override parameter store data via performance admin panel,"* Create a new section in the admin panel to update the parameter store data
* The user will select a service from the drop-down to fetch the parameters w.r.t that service
* Add a button to fetch the parameters for the selected service. Use - [https://docs.aws.amazon.com/AWSJavaScriptSDK/v3/latest/client/ssm/command/GetParametersByPathCommand/|https://docs.aws.amazon.com/AWSJavaScriptSDK/v3/latest/client/ssm/command/GetParametersByPathCommand/]
* Display all the parameters in Key, Value format similar to environment variables UI
* These fields about the parameters should be visible - 
** {{Name}}
** {{Type}}
** {{Value}}
* Every field will have a button to update the value
* Use {{PutParameterCommand}} to update the value

 "
Remove all secrets to remove credentials from TDs,"# Credentials should not be present in the task definitions
# Option to update parameter store values from perf admin panel"
Performance of all APIs  (For Sandbox S2023-35.3.0 / S92),
Performance benchmarking for Client Facing APIs  (For Sandbox S2023-35.3.0 / S92),
[Infra] Use separate parameters for DB_URL variable for all perf services ,
Admin panel - UI/UX Improvements,"h3. Requirements - 

* Performance Admin Panel can be made more like a tool to showcase the latest performance numbers, comparison dashboards, etc
* We need to restructure the current version to accommodate the new additions and to make it ready for the next features
* We won't be focusing on styling the panel more as its an internal tool and we don't want to spend more time on the styling part
* We can choose a theme and refer to the components from the theme to achieve this
* We will add ‘Angular Router’ to make the frontend for usable and scaleable 

----

*Sidebar -* 

* We will add a sidebar to the current layout
* The sidebar will contain the following sections -
** Home
** Services Setup
** Execute tests
** Reports
** Database actions

----

*Landing page -* 

* The Home section will contain graph widgets with the latest generic test, endurance test, PET results
* We will have cards(Tiles) to display the current P95 values of Place Order, DA, Rates values

----

*Services Setup -* [https://delivery-solutions.atlassian.net/browse/DL-23599|https://delivery-solutions.atlassian.net/browse/DL-23599|smart-link]

*Execute tests -* [https://delivery-solutions.atlassian.net/browse/DL-23600|https://delivery-solutions.atlassian.net/browse/DL-23600|smart-link] 

*Reports -* [https://delivery-solutions.atlassian.net/browse/DL-23601|https://delivery-solutions.atlassian.net/browse/DL-23601|smart-link] 

----

*Database actions -*

* In this section, we will have all the database actionable like - 
** Pause/Resume databases
** Snapshot Migration
* Databases to include - 
** Perf cluster
** Perf-sharded cluster
** Perf RDS
** Perf-postgres
* Ability to toggle On/Off triggers - [https://delivery-solutions.atlassian.net/browse/DL-12762|https://delivery-solutions.atlassian.net/browse/DL-12762|smart-link]. Discuss with [~accountid:62aad5226085950068af4d77] for the details."
